polygon:10 8 0;10 0 0;10 0 5;10 8 5:AB
polygon:10 0 0;2 0 0;2 0 5;10 0 5:BC
polygon:2 0 0;0 2 0;0 2 5;2 0 5:CD
polygon:0 2 0;0 6 0;0 6 5;0 2 5:DE
polygon:0 6 0;4 6 0;4 6 5;0 6 5:EF
polygon:4 6 0;4 8 0;4 8 5;4 6 5:FG
polygon:4 8 0;6 8 0;6 8 5;4 8 5:GH
polygon:6 8 0;6 6 0;6 6 5;6 8 5:HI
polygon:6 6 0;8 6 0;8 6 5;6 6 5:IJ
polygon:8 6 0;8 8 0;8 8 5;8 6 5:JK
polygon:8 8 0;10 8 0;10 8 5;8 8 5:KA
polygon:2 2 0;4 2 0;4 2 5;2 2 5:MN
polygon:4 2 0;4 4 0;4 4 5;4 2 5:NO
polygon:4 4 0;2 4 0;2 4 5;4 4 5:OL
polygon:2 4 0;2 2 0;2 2 5;2 4 5:LM
